Hex	Name	UWP	Remarks	{Ix}	(Ex)	[Cx]	N	B	Z	PBG	W	A	Stellar
0101	Known	C9B69BA-7								331			
0105	Known	B434412-D	Ni 					N		663			
0106	Known	B688232-6	Ni 					N		441			
0108	Known	C666101-6	Ni 							333			
0109	Known	B574101-C	Ni 							440			
0201	Known	B7567CA-9	Ag 							223			
0202	Known	B86249A-7	Ni 					NS		112			
0203	Known	C544779-4	Ag 					S		221			
0204	Known	C537100-7	Ni 							112			
0209	Known	C454413-5	Ni 					S		220			
0302	Known	A358546-E	Ag Ni 					S		441			
0303	Known	E779524-5	Ni 							330			
0304	Known	B253434-9	Ni Po 							551			
0306	Known	A37549A-9	Ni 							113			
0308	Known	C340553-B	Ni Po De 							663			
0401	Known	E769794-2	Ri 							553			
0402	Known	C569643-5	Ni Ri 							662			
0403	Known	B622420-C	Ni Po 					NS		333			
0405	Known	B7B58BA-B								221			
0409	Known	B631538-7	Ni Po 							443			
0501	Known	C365554-A	Ag Ni 					S		111			
0505	Known	D688698-1	Ag Ni Ri 							661			
0508	Known	DA99526-6	Ni 							113			
0509	Known	C788665-7	Ag Ni Ri 					S		551			
0510	Known	A584663-A	Ag Ni Ri 					N		442			
0601	Known	CA89598-A	Ni 					S		551			
0602	Known	A441655-E	Ni Po 					N		333			
0603	Known	E7AA7AA-8	Wa 							553			
0606	Known	A45869A-D	Ag Ni 							330			
0608	Known	E642374-5	Ni Po 							113			
0610	Known	B310337-9	Ni 					N		111			
0703	Known	A963510-8	Ni 							550			
0704	Known	B5248CA-6						S		111			
0705	Known	D797002-6	Ni 							222			
0707	Known	B649565-C	Ni 					N		553			
0708	Known	B445796-7	Ag 					NS		443			
0709	Known	E65567A-5	Ag Ni 							222			
0710	Known	C766586-9	Ag Ni 							663			
0801	Known	B799432-A	Ni 							550			
0802	Known	E58A964-8	Wa 							550			
0803	Known	C434153-B	Ni 							112			
0804	Known	B54459A-8	Ag Ni 							553			
0805	Known	A779656-E	Ni Ri 							551			
0806	Known	D224765-8								662			
0807	Known	D300786-3	Na Va 							553			
0808	Known	D424769-5								443			
0810	Known	B34399A-B	In Po 					S		112			
